Rotational speed [rpm],Torque [Nm],Tool wear [min],Air temperature [C],Process temperature [C],is_low_quality,is_medium_quality,is_high_quality,temp_difference,normalized_torque,low_speed,medium_speed,high_speed
1616,31.1,195,25.15000000000004,35.950000000000045,1,0,0,-10.800000000000008,0.4060052219321149,0,1,0
1388,53.8,137,25.05000000000001,35.25,1,0,0,-10.199999999999989,0.7023498694516972,0,1,0
1528,31.1,194,25.05000000000001,34.650000000000034,1,0,0,-9.600000000000025,0.4060052219321149,0,1,0
1599,33.0,7,27.75,37.650000000000034,0,1,0,-9.900000000000034,0.4308093994778068,0,1,0
1571,33.9,208,28.25,37.35000000000002,1,0,0,-9.100000000000025,0.4425587467362924,0,1,0
1373,47.4,56,27.350000000000023,37.35000000000002,1,0,0,-10.0,0.618798955613577,0,1,0
1469,44.1,150,24.15000000000004,35.650000000000034,0,1,0,-11.499999999999996,0.5757180156657964,0,1,0
1655,32.2,12,27.65000000000004,38.55000000000001,1,0,0,-10.899999999999974,0.4203655352480418,0,1,0
1608,33.0,160,28.55000000000001,37.75,1,0,0,-9.199999999999989,0.4308093994778068,0,1,0
1654,27.1,13,25.350000000000023,35.05000000000001,1,0,0,-9.699999999999989,0.3537859007832898,0,1,0
1459,45.1,97,28.350000000000023,37.950000000000045,1,0,0,-9.600000000000025,0.5887728459530027,0,1,0
1433,62.3,20,25.25,35.150000000000034,1,0,0,-9.900000000000034,0.8133159268929504,0,1,0
1706,28.6,206,25.850000000000023,35.55000000000001,1,0,0,-9.699999999999989,0.3733681462140992,0,1,0
1582,31.1,193,27.65000000000004,37.35000000000002,0,0,1,-9.699999999999983,0.4060052219321149,0,1,0
1459,46.7,84,25.950000000000045,37.150000000000034,1,0,0,-11.199999999999989,0.6096605744125327,0,1,0
1463,45.1,113,26.950000000000045,36.450000000000045,0,0,1,-9.5,0.5887728459530027,0,1,0
1535,38.1,160,26.75,38.150000000000034,1,0,0,-11.400000000000034,0.4973890339425588,0,1,0
1509,36.2,57,25.65000000000004,36.650000000000034,1,0,0,-10.999999999999996,0.4725848563968669,0,1,0
1735,26.1,194,29.850000000000023,38.05000000000001,1,0,0,-8.199999999999989,0.3407310704960836,0,1,0
1408,45.4,98,25.15000000000004,35.85000000000002,1,0,0,-10.699999999999983,0.5926892950391646,0,1,0
1353,57.8,89,25.05000000000001,35.85000000000002,1,0,0,-10.800000000000011,0.7545691906005222,0,1,0
1295,58.9,77,27.75,38.150000000000034,0,0,1,-10.400000000000034,0.7689295039164491,0,1,0
1666,27.2,40,27.950000000000045,36.950000000000045,1,0,0,-9.0,0.3550913838120104,0,1,0
1332,51.1,121,23.75,34.35000000000002,0,1,0,-10.600000000000025,0.6671018276762403,0,1,0
1927,22.4,149,28.350000000000023,37.35000000000002,1,0,0,-9.0,0.2924281984334204,0,1,0
1610,32.4,194,25.25,36.05000000000001,1,0,0,-10.800000000000011,0.422976501305483,0,1,0
1523,36.1,126,25.25,35.55000000000001,1,0,0,-10.300000000000011,0.4712793733681463,0,1,0
1618,30.4,130,30.350000000000023,39.75,0,1,0,-9.399999999999975,0.3968668407310705,0,1,0
1658,30.0,3,25.05000000000001,34.85000000000002,1,0,0,-9.800000000000011,0.391644908616188,0,1,0
1477,39.0,127,24.350000000000023,35.650000000000034,1,0,0,-11.300000000000011,0.5091383812010444,0,1,0
1418,46.0,128,30.450000000000045,39.25,1,0,0,-8.799999999999955,0.6005221932114883,0,1,0
1483,45.6,187,26.850000000000023,38.25,1,0,0,-11.399999999999975,0.5953002610966058,0,1,0
1343,53.6,134,25.55000000000001,36.650000000000034,0,1,0,-11.100000000000025,0.6997389033942559,0,1,0
1530,40.9,42,24.75,35.85000000000002,0,1,0,-11.100000000000025,0.5339425587467364,0,1,0
1831,23.3,161,29.950000000000045,38.25,0,1,0,-8.299999999999955,0.304177545691906,0,1,0
1462,42.8,50,26.950000000000045,36.35000000000002,0,1,0,-9.399999999999975,0.5587467362924282,0,1,0
1623,33.1,109,25.350000000000023,36.150000000000034,1,0,0,-10.800000000000011,0.4321148825065274,0,1,0
1439,41.8,96,29.15000000000004,38.150000000000034,1,0,0,-8.999999999999996,0.5456919060052219,0,1,0
1384,54.4,44,25.350000000000023,35.450000000000045,0,1,0,-10.100000000000025,0.7101827676240209,0,1,0
1667,30.4,92,25.55000000000001,36.55000000000001,1,0,0,-11.0,0.3968668407310705,0,1,0
1572,34.6,17,29.05000000000001,36.950000000000045,0,1,0,-7.900000000000034,0.4516971279373368,0,1,0
1419,41.5,105,25.350000000000023,36.450000000000045,1,0,0,-11.100000000000025,0.54177545691906,0,1,0
1280,57.3,147,28.850000000000023,36.650000000000034,0,0,1,-7.800000000000011,0.7480417754569191,0,1,0
1544,36.3,21,27.25,37.25,0,1,0,-10.0,0.4738903394255874,0,1,0
1677,29.2,49,29.350000000000023,38.35000000000002,1,0,0,-9.0,0.381201044386423,0,1,0
