chunk,chunk,chunk,chunk,chunk,chunk,chunk,Air temperature [C],Air temperature [C],Air temperature [C],Air temperature [C],Process temperature [C],Process temperature [C],Process temperature [C],Process temperature [C],Rotational speed [rpm],Rotational speed [rpm],Rotational speed [rpm],Rotational speed [rpm],Torque [Nm],Torque [Nm],Torque [Nm],Torque [Nm],Tool wear [min],Tool wear [min],Tool wear [min],Tool wear [min]
chunk,chunk,chunk,chunk,chunk,chunk,chunk,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon
key,chunk_index,start_index,end_index,start_date,end_date,period,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert
[0:49],0,0,49,,,reference,0.7656233702655925,0.7,0.3,True,0.738722045341342,0.7,0.3,True,0.2387780201082164,0.7,0.3,True,0.27732960209286733,0.7,0.3,True,0.44612695789348134,0.7,0.3,False
[50:99],1,50,99,,,reference,0.8590992548283505,0.7,0.3,True,0.7730308620427746,0.7,0.3,True,0.24059100705804332,0.7,0.3,True,0.24339645376772787,0.7,0.3,True,0.47616824887435133,0.7,0.3,False
[100:149],2,100,149,,,reference,0.8275645944377221,0.7,0.3,True,0.784630223522622,0.7,0.3,True,0.20257528459441276,0.7,0.3,True,0.1404549103367692,0.7,0.3,True,0.46045582866034107,0.7,0.3,False
[150:199],3,150,199,,,reference,0.8837312822650587,0.7,0.3,True,0.8054891788476308,0.7,0.3,True,0.30160670960752856,0.7,0.3,False,0.25914023969003624,0.7,0.3,True,0.43423679696496587,0.7,0.3,False
[200:249],4,200,249,,,reference,0.8094416369818122,0.7,0.3,True,0.7771595861206172,0.7,0.3,True,0.1870645023773826,0.7,0.3,True,0.24632369141108149,0.7,0.3,True,0.5290224027651509,0.7,0.3,False
[250:299],5,250,299,,,reference,0.8003595825225374,0.7,0.3,True,0.809911035495829,0.7,0.3,True,0.2138065167038452,0.7,0.3,True,0.2188839822653478,0.7,0.3,True,0.4699629043453138,0.7,0.3,False
[300:349],6,300,349,,,reference,0.8428026557810674,0.7,0.3,True,0.7860862923958373,0.7,0.3,True,0.24957617669938076,0.7,0.3,True,0.23302777388390117,0.7,0.3,True,0.4748478253747192,0.7,0.3,False
[350:399],7,350,399,,,reference,0.8242187732674439,0.7,0.3,True,0.7879929579126795,0.7,0.3,True,0.21269474594463528,0.7,0.3,True,0.20698383327467232,0.7,0.3,True,0.4474422512398277,0.7,0.3,False
[400:449],8,400,449,,,reference,0.8260965470651139,0.7,0.3,True,0.7784801580051816,0.7,0.3,True,0.1819845642282281,0.7,0.3,True,0.25227472755143976,0.7,0.3,True,0.5150973465477503,0.7,0.3,False
[450:499],9,450,499,,,reference,0.8409901742824385,0.7,0.3,True,0.7715092873165628,0.7,0.3,True,0.30063650280894255,0.7,0.3,False,0.2617976046725995,0.7,0.3,True,0.47493911122969895,0.7,0.3,False
[500:549],10,500,549,,,reference,0.8233908190905901,0.7,0.3,True,0.7833626401633855,0.7,0.3,True,0.18828303803812727,0.7,0.3,True,0.23563195395003508,0.7,0.3,True,0.473004761760371,0.7,0.3,False
